f1_q1d,f1_q2d,f1_q3d,f2_q1d,f2_q2d,f2_q3d,f3_q1d,f3_q2d,f3_q3d,f1_q1,f1_q2,f1_q3,f2_q1,f2_q2,f2_q3,f3_q1,f3_q2,f3_q3,d1_q1,d1_q2,d1_q3,d2_q1,d2_q2,d2_q3,d3_q1,d3_q2,d3_q3,s,s_e,s_d,s1,s2,s3,force
2.5753108692660915,1.1159350587183754,2.622435703363874,2.575227926251348,1.115878198321008,2.622796559368672,2.5753131138967995,1.1160351299816504,2.6228026489160476,2.5753367816825183,1.1159318486574294,2.6224707097444018,2.5752538521778034,1.1158749884331578,2.622831586792439,2.575339060425691,1.116031920407861,2.6228377117676986,-2.59124164266889e-05,3.210060945953788e-06,-3.500638052754691e-05,-2.592592645546087e-05,3.209887849960178e-06,-3.5027423767464636e-05,-2.5946528891489014e-05,3.209573789206591e-06,-3.5062851651195384e-05,0.11740098557637636,0.11739385977739308,0.11739385980042173,0.019561926158504443,0.019566071227142285,0.01957263179038763,-0.005110888377058148,0.0
2.5752863360090457,1.1159323273930002,2.622362439801039,2.5751958872435488,1.1158701331462169,2.6227573250644256,2.5752888063441515,1.116041777067009,2.6227639428683065,2.5753106086130684,1.115929319574354,2.622395228771329,2.5752201737119123,1.1158671255049137,2.622790135635082,2.5753131138967995,1.1160387697467864,2.6227967896963493,-2.427260402291077e-05,3.007818646100677e-06,-3.2788970289906654e-05,-2.428646836347722e-05,3.007641303445985e-06,-3.281057065618332e-05,-2.4307552648180985e-05,3.00732022238687e-06,-3.2846828042654176e-05,0.11739053473998928,0.11738385978021881,0.11738385980042174,0.019559714880260554,0.019564258354225855,0.019571427652890282,-0.005572660029060048,0.0
2.5752654310682144,1.1159275158250122,2.6222837998985224,2.575164731258939,1.1158585960524405,2.622721011849436,2.575268097082801,1.1160487985301346,2.622728363776429,2.5752861073736373,1.1159249528212882,2.6223117288329725,2.575185420601515,1.115856033215107,2.6227489610893793,2.5752888063441515,1.1160462359957721,2.622756347272062,-2.0676305422696255e-05,2.5630037238482513e-06,-2.7928934450127893e-05,-2.0689342575704225e-05,2.5628373332031054e-06,-2.7949239943349707e-05,-2.0709261350764816e-05,2.562534362265044e-06,-2.7983495633334328e-05,0.11737954591550426,0.11737385978576416,0.11737385980042174,0.019557316277654262,0.0195623332329955,0.019570286376290307,-0.005966129222200562,0.0
2.575244930724585,1.1159226741586767,2.6222062395050556,2.575133767471663,1.1158470888595735,2.62268516618854,2.5752477494190535,1.1160556860770856,2.6226932639296336,2.575265242924775,1.1159201555319624,2.622233674871783,2.5751540936460726,1.1158445704108186,2.622712623310625,2.575268097082801,1.1160531679548256,2.6227207580114316,-2.031220018985173e-05,2.5186267144056217e-06,-2.743536672727417e-05,-2.0326174409905075e-05,2.5184487547370863e-06,-2.7457122084734142e-05,-2.034766374744954e-05,2.518122260083253e-06,-2.749408179814024e-05,0.11736944595154125,0.11736385978627767,0.11736385980042174,0.019555095987009323,0.019560570973301755,0.019569307106039997,-0.0063527740834853465,0.0
2.575222130872035,1.1159192356201815,2.622132783700282,2.575102279858274,1.1158379551474775,2.6226475279240673,2.575225100326164,1.116062264895997,2.6226562314229662,2.575244737551537,1.1159164317223387,2.6221633164093006,2.575124903223456,1.1158351514617384,2.6226780866054495,2.5752477494190535,1.116059461600765,2.6226868343560756,-2.2606679501735088e-05,2.803897842844137e-06,-3.0532709018278515e-05,-2.262336518205725e-05,2.80368573927547e-06,-3.05586813823498e-05,-2.2649092889630808e-05,2.8032952320261974e-06,-3.060293310919176e-05,0.11736007711117723,0.11735385978290405,0.11735385980042175,0.01955307647312667,0.01955895194346923,0.01956835156987351,-0.006783200377558706,0.0
2.575198111141635,1.1159163957264076,2.622060287687923,2.5750704433154845,1.1158297777578525,2.6226088356165946,2.575201255682211,1.1160688084691648,2.6226180750150663,2.5752219082238086,1.1159134433633002,2.6220924262476144,2.5750942591118857,1.115826825632233,2.622641003307879,2.575225100326164,1.1160658567809811,2.62265029232607,-2.3797082173520547e-05,2.952363107135377e-06,-3.21385596912722e-05,-2.381579640112195e-05,2.9521256192674442e-06,-3.21676912844483e-05,-2.3844643953124122e-05,2.9516881834080417e-06,-3.221731100391835e-05,0.11735040461727873,0.1173438597810135,0.11734385980042175,0.019551018448145538,0.01955728105243756,0.019567295504909623,-0.007236405047217885,0.0
2.575175153287194,1.1159128495441215,2.6219854024449343,2.5750388163978495,1.115820381011413,2.6225709291041746,2.575178480589802,1.1160755479026099,2.62258076700583,2.5751978799120323,1.1159100291453976,2.6220160933643313,2.5750615620877757,1.1158175608541776,2.622601649701428,2.575201255682211,1.1160727281907548,2.6226115381795827,-2.2726624838512588e-05,2.8203987239793216e-06,-3.06909193971945e-05,-2.2745689926317316e-05,2.8201572350053584e-06,-3.072059725350913e-05,-2.277509240878284e-05,2.819711854821819e-06,-3.0771173752526866e-05,0.1173401103443224,0.11733385978272302,0.11733385980042176,0.019548808273875503,0.01955549144525047,0.019566181837533538,-0.007669339605987828,0.0
2.5751534613964213,1.1159086074991822,2.62190888879439,2.575007509955302,1.1158098338814324,2.6225340626853137,2.5751569544224564,1.1160823923291936,2.6225445683905653,2.57517493867135,1.115905941338263,2.621937890666592,2.5750290064355976,1.1158071679632915,2.6225630944497906,2.575178480589802,1.1160797268602547,2.6225736512238944,-2.1477274928729838e-05,2.6661609190963053e-06,-2.900187220191596e-05,-2.1496480295808657e-05,2.6659181409699166e-06,-2.9031764476816832e-05,-2.1526167345376207e-05,2.6654689387651243e-06,-2.9082833329324688e-05,0.11732976688190773,0.11732385978461772,0.11732385980042176,0.019546561872849966,0.01955368825012788,0.019565112692228624,-0.00807858617530838,0.0
2.575131568545473,1.1159045608674765,2.6218333357657158,2.5749761900495054,1.1157996436397832,2.622497090440465,2.5751352110150982,1.1160891474502224,2.6225082455661597,2.5751532595383644,1.1159018673923828,2.6218626244135548,2.574997901601673,1.1157969504240781,2.622526411083437,2.5751569544224564,1.1160864547160236,2.622537621010686,-2.169099289111409e-05,2.693475093875553e-06,-2.9288647838972136e-05,-2.171155216769383e-05,2.6932157052844057e-06,-2.932064297203702e-05,-2.1743407358149967e-05,2.6927341990245806e-06,-2.9375444526263163e-05,0.11731982581241834,0.1173138597843038,0.11731385980042176,0.01954440412731316,0.019551960126063,0.019564100869698283,-0.008492013466369578,0.0
2.5751087331341282,1.115901068888637,2.621759290461949,2.574944644028625,1.1157903829239206,2.622459368546292,2.5751125257543794,1.1160957951852377,2.622471113999603,2.575131360741061,1.115898258316116,2.6217898419417214,2.5749672942341038,1.1157875726359952,2.6224899551930614,2.5751352110150982,1.116092985426655,2.6225017609558563,-2.262760693255237e-05,2.8105725212672393e-06,-3.0551479772278695e-05,-2.265020547868988e-05,2.8102879254837335e-06,-3.058664676972769e-05,-2.2685260718924145e-05,2.8097585827221325e-06,-3.0646956253201e-05,0.11731008356182485,0.11730385978288427,0.11730385980042177,0.019542307584945583,0.019550272059511382,0.019563082206368626,-0.008923402260053967,0.0
